STN,YYYYMMDD,TG,TN,TX
  249,19990323,   76,   48,   86
  249,19990324,   81,   44,   99
  249,19990325,   97,   45,  145
  249,19990326,   87,   54,  106
  249,19990327,   58,    6,  114
  249,19990328,   52,   -9,   95
  249,19990329,   99,   31,  152
  249,19990330,  111,   98,  128
  249,19990331,  128,   90,  171
  249,19990401,  131,   90,  173
  249,19990402,  124,   70,  191
  249,19990403,  112,   68,  150
  249,19990404,   87,   61,  111
  249,19990405,  109,   69,  139
  249,19990406,  102,   91,  116
  249,19990407,   90,   69,  115
  249,19990408,   71,   34,   87
  249,19990409,  100,   53,  137
  249,19990410,   96,   82,  106
  249,19990411,   85,   55,  109
  249,19990412,   80,   51,  110
  249,19990413,   51,    4,   88
  249,19990414,   34,   -5,   78
  249,19990415,   33,  -14,   86
  249,19990416,   57,   15,  102
  249,19990417,   62,   -5,  108
  249,19990418,   53,    6,   95
  249,19990419,   54,  -13,  104
  249,19990420,   96,   39,  133
  249,19990421,  119,   92,  169
  249,19990422,  111,   80,  143
  249,19990423,  114,   49,  159
  249,19990424,  123,  102,  149
  249,19990425,  125,   80,  167
  249,19990426,  139,  100,  185
  249,19990427,  126,   88,  169
  249,19990428,  105,   68,  152
  249,19990429,   95,   33,  134
  249,19990430,   98,   10,  167
  249,19990501,  104,   79,  143
  249,19990502,  100,   38,  153
  249,19990503,  114,   49,  171
  249,19990504,  124,   70,  177
  249,19990505,  125,   98,  158
  249,19990506,  110,   98,  123
  249,19990507,  138,   98,  191
  249,19990508,  137,  122,  162
  249,19990509,  150,  120,  181
  249,19990510,  147,  110,  184
  249,19990511,  137,  107,  168
  249,19990512,  131,  112,  164
  249,19990513,  131,  103,  163
  249,19990514,  124,   91,  166
  249,19990515,   99,   46,  145
  249,19990516,   91,   51,  122
  249,19990517,  128,   66,  179
  249,19990518,  158,  105,  210
  249,19990519,  165,  123,  225
  249,19990520,  148,   86,  184
  249,19990521,  146,  100,  195
  249,19990522,  122,  103,  152
  249,19990523,  143,  111,  169
  249,19990524,  136,  124,  152
  249,19990525,  127,   67,  164
  249,19990526,  129,   62,  182
  249,19990527,  175,   63,  257
  249,19990528,  171,  121,  203
  249,19990529,  189,  104,  262
  249,19990530,  140,  107,  184
  249,19990531,  126,   79,  170
  249,19990601,  149,   85,  208
  249,19990602,  170,  122,  217
  249,19990603,  158,  135,  202
  249,19990604,  141,  120,  163
  249,19990605,  125,   86,  159
  249,19990606,  126,   70,  159
  249,19990607,  130,   69,  185
  249,19990608,  122,  103,  153
  249,19990609,  136,  109,  165
  249,19990610,  129,  101,  168
  249,19990611,  121,   88,  158
  249,19990612,  128,   84,  170
  249,19990613,  157,   76,  210
  249,19990614,  164,  101,  228
  249,19990615,  167,   95,  219
  249,19990616,  179,   93,  231
  249,19990617,  161,   96,  216
  249,19990618,  132,   74,  181
  249,19990619,  159,   53,  218
  249,19990620,  141,   72,  169
  249,19990621,  120,   64,  166
  249,19990622,  127,   65,  183
  249,19990623,  136,   80,  173
  249,19990624,  134,   67,  182
  249,19990625,  132,   48,  183
  249,19990626,  160,   78,  221
  249,19990627,  180,  143,  229
  249,19990628,  146,  115,  176
  249,19990629,  164,  136,  202
  249,19990630,  166,  141,  203
  249,19990701,  158,  144,  172
  249,19990702,  178,  138,  205
  249,19990703,  188,  133,  245
  249,19990704,  187,  143,  228
  249,19990705,  161,  108,  181
  249,19990706,  161,  100,  209
  249,19990707,  175,  106,  222
  249,19990708,  181,  142,  227
  249,19990709,  190,  120,  240
  249,19990710,  205,  142,  258
  249,19990711,  222,  171,  275
  249,19990712,  218,  175,  271
  249,19990713,  189,  150,  220
  249,19990714,  158,  110,  196
  249,19990715,  153,  103,  204
  249,19990716,  168,   95,  209
  249,19990717,  174,  117,  223
  249,19990718,  199,  100,  269
  249,19990719,  214,  153,  267
  249,19990720,  196,  177,  227
  249,19990721,  172,  139,  193
  249,19990722,  149,  129,  162
  249,19990723,  152,  124,  185
  249,19990724,  195,  148,  240
  249,19990725,  184,  120,  250
  249,19990726,  152,  100,  200
  249,19990727,  158,  106,  198
  249,19990728,  177,  107,  238
  249,19990729,  200,   99,  263
  249,19990730,  215,  124,  281
  249,19990731,  215,  139,  291
  249,19990801,  224,  147,  295
  249,19990802,  225,  147,  296
  249,19990803,  224,  166,  289
  249,19990804,  214,  150,  274
  249,19990805,  199,  146,  237
  249,19990806,  207,  142,  266
  249,19990807,  185,  174,  202
  249,19990808,  185,  158,  222
  249,19990809,  185,  146,  228
  249,19990810,  168,  143,  213
  249,19990811,  151,  104,  188
  249,19990812,  147,  101,  194
  249,19990813,  155,  104,  189
  249,19990814,  163,  126,  199
  249,19990815,  158,  117,  193
  249,19990816,  149,   99,  201
  249,19990817,  147,  106,  179
  249,19990818,  152,  133,  201
  249,19990819,  155,  134,  184
  249,19990820,  153,  110,  191
  249,19990821,  139,   88,  181
  249,19990822,  130,   75,  169
  249,19990823,  137,   63,  194
  249,19990824,  161,   95,  205
  249,19990825,  206,  170,  247
  249,19990826,  195,  167,  231
  249,19990827,  172,  126,  207
  249,19990828,  159,  105,  221
  249,19990829,  168,   95,  226
  249,19990830,  155,  101,  211
  249,19990831,  165,  104,  195
  249,19990901,  171,  120,  204
  249,19990902,  178,  111,  231
  249,19990903,  189,  139,  238
  249,19990904,  179,  114,  245
  249,19990905,  189,  120,  254
  249,19990906,  180,  113,  247
  249,19990907,  182,  136,  224
  249,19990908,  189,  128,  237
  249,19990909,  171,  123,  225
  249,19990910,  186,  145,  224
  249,19990911,  216,  173,  281
  249,19990912,  192,  152,  257
  249,19990913,  179,  148,  232
  249,19990914,  179,  166,  195
  249,19990915,  176,  141,  209
  249,19990916,  159,  131,  202
  249,19990917,  150,  114,  188
  249,19990918,  158,  107,  201
  249,19990919,  182,  148,  219
  249,19990920,  177,  152,  209
  249,19990921,  155,  125,  191
  249,19990922,  169,  130,  208
  249,19990923,  181,  158,  215
  249,19990924,  171,  147,  217
  249,19990925,  158,  140,  190
  249,19990926,  146,  122,  180
  249,19990927,  145,  121,  167
  249,19990928,  146,  129,  177
  249,19990929,  160,  139,  189
  249,19990930,  148,  120,  184
  249,19991001,  137,   95,  158
  249,19991002,  127,   97,  157
  249,19991003,  104,   87,  135
  249,19991004,  102,   62,  134
  249,19991005,  103,   56,  142
  249,19991006,  103,   72,  141
  249,19991007,  113,   75,  146
  249,19991008,  131,  101,  157
  249,19991009,  148,  140,  163
  249,19991010,  157,  144,  166
  249,19991011,  122,   79,  165
  249,19991012,   96,   51,  151
  249,19991013,   96,   53,  146
  249,19991014,  120,   52,  158
  249,19991015,  109,   65,  135
  249,19991016,   85,   42,  128
  249,19991017,   76,   43,  106
  249,19991018,   69,   39,  104
  249,19991019,   65,   37,   97
  249,19991020,   58,   36,   91
  249,19991021,   48,   24,   73
  249,19991022,   95,   71,  112
  249,19991023,  125,   93,  170
  249,19991024,  115,   88,  143
  249,19991025,  121,  106,  142
  249,19991026,  124,  106,  147
